Title,Abstract,Authors,Journal,DOI
Differentiation of light chain cardiac amyloidosis and hypertrophic cardiomyopathy by ensemble machine learning-based radiomic analysis of cardiac magnetic resonance.,"BACKGROUND: We aim to assess the diagnosis performance of an ensemble machine learning (ML) based radiomic analysis of multiparametric cardiac magnetic resonance (CMR) to differentiate light chain cardiac amyloidosis (AL-CA) and hypertrophic cardiomyopathy (HCM). METHODS: In the development dataset, we retrospectively collected at Peking Union Medical College Hospital between January 1, 2017, and December 31, 2022, and included 84 patients with AL-CA, 63 patients with HCM, and 34 healthy controls. Radiomics features were extracted from regions of interest in the myocardium on native T1, post-contrast T1, extracellular volume (ECV), and T2 mapping. For each modal data, eight feature selection methods were used to select the top 10 important features; then, seven ML classifiers were trained with the selected features for disease classification, and the best combinations of feature selection and classifiers were chosen by the highest predictive accuracy (ACC). The predictive results of multiple ML classifiers as input to build an ensemble ML model that classified each case (AL-CA, HCM, or controls) using a""soft voting"" scheme. RESULTS: For native T1, post-contrast T1, T2 mapping, ECV, and clinical data, the best combination of feature selection and classifier is MRMR_RF, XGboost_RF, Lasso_ Lasso, Lasso_RF, and ANOVA_ XGboost, respectively. The myocardial texture and the first-order features of native T1, post-contrast T1, and T2 mapping dominated the ensemble ML model and there was only a marginal role for ventricular shape features. In the hold-out testing dataset (37 AL-CA, 21 HCM, and 14 controls), the ensemble ML model exhibited a better diagnostic value with an area under curve of 0.98 for differentiating the 3 groups. CONCLUSION: An ensemble ML model with competitive diagnostic accuracy was proposed to differentiate AL-CA from HCM patients and healthy controls.","Zhang S, Guo Y, Gao Y, Wu M, Zhuang S, Li X, Chen T, Li J, Tian Z, Wang Y, Zhang S",Orphanet J Rare Dis. 2025 Nov 4;20(1):557. doi: 10.1186/s13023-025-03947-2.,10.1186/s13023-025-03947-2 [pii]
Exploiting endogenous and therapy-induced apoptotic vulnerabilities in immunoglobulin light chain amyloidosis with BH3 mimetics.,"Immunoglobulin light chain (AL) amyloidosis is an incurable hematologic disorder typically characterized by the production of amyloidogenic light chains by clonal plasma cells. These light chains misfold and aggregate in healthy tissues as amyloid fibrils, leading to life-threatening multi-organ dysfunction. Here we show that the clonal plasma cells in AL amyloidosis are highly primed to undergo apoptosis and dependent on pro-survival proteins MCL-1 and BCL-2. Notably, this MCL-1 dependency is indirectly targeted by the proteasome inhibitor bortezomib, currently the standard of care for this disease and the related plasma cell disorder multiple myeloma, due to upregulation of pro-apoptotic Noxa and its inhibitory binding to MCL-1. BCL-2 inhibitors sensitize clonal plasma cells to multiple front-line therapies including bortezomib, dexamethasone and lenalidomide. Strikingly, in mice bearing AL amyloidosis cell line xenografts, single agent treatment with the BCL-2 inhibitor ABT-199 (venetoclax) produces deeper remissions than bortezomib and triples median survival. Mass spectrometry-based proteomic analysis reveals rewiring of signaling pathways regulating apoptosis, proliferation and mitochondrial metabolism between isogenic AL amyloidosis and multiple myeloma cells that divergently alter their sensitivity to therapies. These findings provide a roadmap for the use of BH3 mimetics to exploit endogenous and induced apoptotic vulnerabilities in AL amyloidosis.","Fraser CS, Spetz JKE, Qin X, Presser A, Choiniere J, Li C, Yu S, Blevins F, Hata AN, Miller JW, Bradshaw GA, Kalocsay M, Sanchorawala V, Sarosiek S, Sarosiek KA",Nat Commun. 2022 Oct 2;13(1):5789. doi: 10.1038/s41467-022-33461-z.,10.1038/s41467-022-33461-z [pii]
Bio-Adrenomedullin Predicts Death and Major Adverse Cardiovascular Events in Cardiac Amyloidosis: A Cross-Continental Multicenter Study.,"BACKGROUND: Bio-ADM (bioactive adrenomedullin) is a vasoactive peptide hormone that predicts clinical outcomes in heart failure-the main driver of adverse outcomes in cardiac amyloidosis (CA). This prospective observational study sought to assess the prognostic role of bio-ADM in CA. METHODS: Patients with CA were enrolled from amyloid centers in Germany (observation cohort), Japan, and the United States (combined validation cohort). Bio-ADM was quantified using the sphingotest bio-ADM assay. Associations of bio-ADM with all-cause death and major adverse cardiovascular events over 2 years were assessed using Kaplan-Meier and Cox regression analyses. Likelihood ratio chi-square tests for nested models evaluated whether adding bio-ADM improves validated prognostic staging systems. RESULTS: In both the German observation cohort (n=86) and the combined validation cohort from Japan and the United States (n=124), elevated bio-ADM (>29 pg/mL) was associated with more frequent all-cause death and major adverse cardiovascular events. Bio-ADM remained independently associated with impaired overall (P<0.001) and major adverse cardiovascular events-free survival (P<0.001) after adjustment for age, sex, and established prognostic biomarkers in the entire cohort. Adding categorized bio-ADM (>29 pg/mL) significantly improved the prognostic accuracy of the National Amyloidosis Centre (C-index 0.674 to 0.787; P=0.002) and MayoATTR (C-index 0.662 to 0.757; P<0.001) staging systems for cardiac transthyretin amyloidosis. Adding bio-ADM to staging systems for cardiac immunoglobulin light chain amyloidosis yielded no significant changes. CONCLUSIONS: Bio-ADM is a promising prognostic biomarker, especially in cardiac transthyretin amyloidosis, where it improved risk stratification when added to established staging systems. Further research is needed to clarify its role as part of staging systems for cardiac immunoglobulin light chain amyloidosis.","Müller ML, Knebel F, Hahn K, Schulte J, Arlt B, Hartmann O, Moore KMS, Takashio S, Izumiya Y, Mitchell JD, Tsujita K, Landmesser U, Heidecker B",J Am Heart Assoc. 2026 Jan 6;15(1):e043736. doi: 10.1161/JAHA.125.043736. Epub 2025 Dec 23.,JAH370042 [pii]
Prevalence of Positive (99 m)Tc-DPD Scintigraphy as an Indicator of the Prevalence of Wild-type Transthyretin Amyloidosis in the Elderly.,"Senile or wild-type transthyretin (wtTTR) amyloidosis is an age-related disease caused by the deposition of wtTTR amyloid protein. In contrast to light chain amyloidosis, (99 m)Tc-DPD scintigraphy (DPD scan) is a useful diagnostic modality for wtTTR amyloidosis.We retrospectively analyzed patients older than 30 years who underwent DPD scanning for non-cardiac reasons at our hospital between June 2014 and March 2017 (n = 9,581). Transthoracic echocardiography was used to assess left ventricular hypertrophy (LVH), as well as systolic and diastolic function.A positive DPD scan was observed in only six patients (0.06%). All six of these patients were older than 70 years, and they constitute only 0.4% of patients in this age group (6/1652). Among the patients with a positive DPD scan, four showed concentric LVH and two showed a normal wall thickness. With respect to the severity of diastolic dysfunction and pulmonary artery pressure, patients with a positive DPD scan showed the expected E' and pulmonary artery systolic pressure for their age.Even considering the limited sensitivity of a positive DPD scan detecting wtTTR amyloidosis, the incidence of a positive DPD scan in non-cardiac patients indicated that wtTTR amyloid deposition does not seem to be a major cause for age-related diastolic dysfunction, nor does appear to have a high incidence in patients with heart failure with preserved EF in the elderly.","Kim HM, Sohn DW, Paeng JC",Int Heart J. 2019 May 30;60(3):643-647. doi: 10.1536/ihj.18-345. Epub 2019 Apr 25.,10.1536/ihj.18-345 [doi]
Congophilic Fibrillary Glomerulonephritis: A Case Series.,"RATIONALE & OBJECTIVE: Congo Red positivity with birefringence under polarized light has traditionally permitted classification of organized glomerular deposits as from amyloid or nonamyloid diseases. The absence of congophilia has been used to differentiate fibrillary glomerulonephritis (GN) from amyloidosis. We describe a series of fibrillary GN cases in which the deposits are Congo Red-positive (congophilic fibrillary GN) and discuss the role of DNAJB9 in distinguishing congophilic fibrillary GN from amyloidosis. STUDY DESIGN: Case series. SETTING & PARTICIPANTS: Analysis of the clinicopathologic characteristics of 18 cases of congophilic fibrillary GN. Mass spectrometry was performed and compared with 24 cases of Congo Red-negative fibrillary GN, 145 cases of amyloidosis, and 12 apparently healthy individuals. DNAJB9 immunohistochemistry was obtained for a subset of cases. RESULTS: The proteomic signature of amyloid was not detected using mass spectrometry among cases of congophilic fibrillary GN. DNAJB9, a recently discovered proteomic marker for fibrillary GN, was detected using mass spectrometry in all cases of fibrillary GN regardless of congophilia and was absent in cases of amyloidosis and in healthy individuals. DNAJB9 immunohistochemistry confirmed the mass spectrometry findings. The congophilic fibrillary GN cases included 11 men and 7 women with a mean age at diagnosis of 65 years. Concomitant monoclonal gammopathy, hepatitis C virus infection, malignancy, or autoimmune disease was present in 35%, 22%, 17%, and 11% of patients, respectively. No patient had evidence of extrarenal amyloidosis. Patients presented with proteinuria (100%), nephrotic syndrome (47%), hematuria (78%), and chronic kidney disease (83%). After a mean follow-up of 23 months, 31% of patients progressed to end-stage kidney disease and the remaining 69% had persistently reduced kidney function. LIMITATIONS: Retrospective nature. Blinded pathology evaluations were not performed. CONCLUSIONS: The congophilic properties of organized fibrillary deposits should not be solely relied on in differentiating fibrillary GN from renal amyloidosis. Mass spectrometry and DNAJB9 immunohistochemistry can be useful in making this distinction.","Alexander MP, Dasari S, Vrana JA, Riopel J, Valeri AM, Markowitz GS, Hever A, Bijol V, Larsen CP, Cornell LD, Fidler ME, Said SM, Sethi S, Herrera Hernandez LP, Grande JP, Erickson SB, Fervenza FC, Leung N, Kurtin PJ, Nasr SH",Am J Kidney Dis. 2018 Sep;72(3):325-336. doi: 10.1053/j.ajkd.2018.03.017. Epub 2018 Jun 14.,S0272-6386(18)30604-8 [pii]
Daratumumab for systemic AL amyloidosis: prognostic factors and adverse outcome with nephrotic-range albuminuria.,"Daratumumab has shown promising first results in systemic amyloid light-chain (AL) amyloidosis. We analyzed a consecutive series of 168 patients with advanced AL receiving either daratumumab/dexamethasone (DD, n = 106) or daratumumab/bortezomib/dexamethasone (DVD, n = 62). DD achieved a remission rate (RR) of 64% and a very good hematologic remission (VGHR) rate of 48% after 3 months. Median hematologic event-free survival (hemEFS) was 11.8 months and median overall survival (OS) was 25.6 months. DVD achieved a 66% RR and a 55% VGHR rate. Median hemEFS was 19.1 months and median OS had not been reached. Cardiac organ responses were noted in 22% with DD and 26% with DVD after 6 months. Infectious complications were common (Common Terminology Criteria [CTC] grade 3/4: DD 16%, DVD 18%) and likely related to a high rate of lymphocytopenia (CTC grade 3/4: DD 20%, DVD 17%). On univariable analysis, hyperdiploidy and gain 1q21 conferred an adverse factor for OS and hemEFS with DD, whereas translocation t(11;14) was associated with a better hemEFS. N-terminal prohormone of brain natriuretic peptide >8500 ng/L could not be overcome for survival with each regimen. Multivariable Cox regression analysis revealed plasma cell dyscrasia (difference between serum free light chains [dFLC]) >180 mg/L as an overall strong negative prognostic factor. Additionally, nephrotic-range albuminuria with an albumin-to-creatinine-ratio (ACR) >220 mg/mmol was a significantly adverse factor for hemEFS (hazard ratio, 2.1 and 3.1) with DD and DVD. Daratumumab salvage therapy produced good results and remission rates challenging any therapy in advanced AL. Outcome is adversely influenced by the activity of the underlying plasma cell dyscrasia (dFLC) and nephrotic-range albuminuria (ACR).","Kimmich CR, Terzer T, Benner A, Dittrich T, Veelken K, Carpinteiro A, Hansen T, Goldschmidt H, Seckinger A, Hose D, Jauch A, Wörner S, Beimler J, Müller-Tidow C, Hegenbart U, Schönland SO",Blood. 2020 Apr 30;135(18):1517-1530. doi: 10.1182/blood.2019003633.,S0006-4971(20)62060-2 [pii]
Prognosis of light chain amyloidosis: a multivariable analysis for survival prediction in patients with cardiac involvement proven by endomyocardial biopsy.,"BACKGROUND: Cardiac involvement is a main determinant of mortality in light chain (AL) amyloidosis but data on survival of patients with cardiac AL amyloidosis proven by endomyocardial biopsy (EMB) are sparse. METHODS: This study analysed clinical, laboratory, electrocardiography and echocardiographic parameters for their prognostic value in the assessment of patients with AL amyloidosis and cardiac involvement. Patients with AL amyloidosis who had their first visit to the amyloidosis centre at the University Hospital Heidelberg between 2006 and 2017 (n=1628) were filtered for cardiac involvement proven by EMB. In the final cohort, mortality-associated markers were analysed by univariate and multivariable Cox regression. Cut-off values for each parameter were calculated using the survival time. RESULTS: One-hundred and seventy-four patients could be identified. Median overall survival time was 1.5 years and median follow-up time was 5.2 years. At the end of the investigation period, 115 patients had died. In multivariable analysis, New York Heart Association-functional class >II (HR 1.65; 95% CI 1.09 to 2.50; p=0.019), left ventricular global longitudinal strain (HR 1.12; 95% CI 1.03 to 1.22; p=0.007), left ventricular end-systolic volume (HR 1.02; 95% CI 1.01 to 1.03; p=0.001), systolic pulmonary artery pressure (HR 0.98; 95% CI 0.96 to 0.99; p=0.027), N-terminal pro-B-type natriuretic peptide (HR 1.57; 95% CI 1.17 to 2.11; p=0.003) and difference in free light chains (HR 1.30; 95% CI 1.05 to 1.62; p=0.017) were independently predictive. CONCLUSION: Among all patients with AL amyloidosis those with cardiac involvement represent a high-risk population with limited therapy options. Therefore, accurate risk stratification is necessary to identify cardiac amyloidosis patients with favourable prognosis. Incorporation of modern imaging techniques into existing or newly developed scoring systems is a promising option that might enable the implementation of risk-adapted therapeutic strategies.","Aurich M, Bucur J, Vey JA, Greiner S, Aus dem Siepen F, Hegenbart U, Schönland S, Katus HA, Frey N, Mereles D",Open Heart. 2023 Jul;10(2):e002310. doi: 10.1136/openhrt-2023-002310.,openhrt-2023-002310 [pii]
"Right Ventricular Hypertrophy, Systolic Function, and Disease Severity in Anderson-Fabry Disease: An Echocardiographic Study.","BACKGROUND: Right ventricular (RV) involvement has been described in Anderson-Fabry disease (AFD), especially in patients with established Fabry cardiomyopathy (FC). However, few and controversial data on RV systolic function are available, and there are no specific tissue Doppler studies. METHODS: Detailed echocardiographic examinations were performed in 45 patients with AFD. FC, defined as maximal left ventricular wall thickness ≥ 15 mm, was present in 12. The Mainz Severity Score Index was calculated for each patient. Pulsed tissue Doppler was applied to the RV free wall at the tricuspid annular level and at the septal and lateral corners at the mitral annular level to obtain systolic tissue Doppler velocities (RV S(a), septal S(a), and lateral S(a), respectively). Twelve patients with amyloid light-chain cardiac amyloidosis were studied as a control group. RESULTS: Echocardiography revealed RV hypertrophy (RVH) in 31% of patients with AFD, all but one of whom were male and all of whom had concomitant left ventricular hypertrophy (LVH). All patients with AFD had normal RV fractional area change (47.9 ± 6.5%) and tricuspid annular plane systolic excursion (21.7 ± 3.2 mm) and all but one also had normal RV S(a) (13.2 ± 2.2 cm/sec). RVH positively correlated with indices of LVH (r = 0.8, P = .0001, for all parameters evaluated), as well as with Mainz Severity Score Index (r = 0.70, P = .0001). Septal and lateral S(a) were decreased in almost all patients (means, 7.7 ± 1.8 and 7.9 ± 1.9 cm/sec, respectively), irrespective of the presence of LVH. Compared with control subjects with cardiac amyloidosis, patients with FC showed better indices of RV systolic function (P < .001 for all: tricuspid annular plane systolic excursion, RV fractional area change, and RV S(a)) despite similar RV wall thickness (6.2 ± 1.2 vs 6.9 ± 1.9 mm, P = NS). CONCLUSIONS: RVH is common in patients with AFD and correlates with disease severity and LVH. RVH, however, does not significantly affect RV systolic function. Patients with FC have better RV systolic function compared with those with cardiac amyloidosis with similar levels of RV thickness. The combination of low LV S(a) values and normal RV S(a) values might be helpful in the differential diagnosis of infiltrative heart disease.","Graziani F, Laurito M, Pieroni M, Pennestrì F, Lanza GA, Coluccia V, Camporeale A, Pedicino D, Verrecchia E, Manna R, Crea F",J Am Soc Echocardiogr. 2017 Mar;30(3):282-291. doi: 10.1016/j.echo.2016.11.014. Epub 2017 Jan 6.,S0894-7317(16)30677-0 [pii]
Liver dysfunction as predictor of prognosis in patients with amyloidosis: utility of the Model for End-stage Liver disease (MELD) scoring system.,"Amyloidosis prognosis is often related to the onset of heart failure and a worsening that is concomitant with kidney-liver dysfunction; thus the Model for End-stage Liver disease (MELD) may be an ideal instrument to summarize renal-liver function. Our aim has been to test the MELD score as a prognostic tool in amyloidosis. We evaluated 128 patients, 46 with TTR-related amyloidosis and 82 with AL amyloidosis. All patients had a complete clinical and echocardiography evaluation; overall biohumoral assessment included troponin I, NT-proBNP, creatinine, total bilirubin and INR ratio. The study population was dichotomized at the 12 cut-off level of MELD scores; those with MELD score >12 had a lower survival compared to controls in the study cohort (40.7 vs 66.3 %; p = 0.006). Either as a continuous and dichotomized variable, MELD shows its independent prognostic value at multivariable analysis (HR = 1.199, 95 % CI 1.082-1.329; HR = 2.707, 95 % CI 1.075-6.817, respectively). MELD shows a lower prognostic sensitivity/specificity ratio than troponin I and NT-proBNP in the whole study population and AL subgroup, while in TTR patients MELD has a higher sensitivity/specificity ratio compared to troponin and NT-proBNP (ROC analysis-AUC: 0.853 vs 0.726 vs 0.659). MELD is able to predict prognosis in amyloidosis. A MELD score >12 selects a subgroup of patients with a higher risk of death. The predictive accuracy seems to be more evident in TTR patients in whom currently no effective scoring systems have been validated.","Cappelli F, Baldasseroni S, Bergesio F, Spini V, Fabbri A, Angelotti P, Grifoni E, Attanà P, Tarantini F, Marchionni N, Moggi Pignone A, Perfetto F",Intern Emerg Med. 2017 Feb;12(1):23-30. doi: 10.1007/s11739-016-1500-0. Epub 2016 Aug 1.,10.1007/s11739-016-1500-0 [pii]
Detection of minimal residual disease by next generation sequencing in AL amyloidosis.,No abstract available,"Sarosiek S, Varga C, Jacob A, Fulciniti MT, Munshi N, Sanchorawala V",Blood Cancer J. 2021 Jun 21;11(6):117. doi: 10.1038/s41408-021-00511-6.,10.1038/s41408-021-00511-6 [pii]
Multi-chamber speckle tracking imaging and diagnostic value of left atrial strain in cardiac amyloidosis.,"AIMS: Cardiac amyloidosis (CA) affects the four heart chambers, which can all be evaluated through speckle-tracking echocardiography (STE). METHODS AND RESULTS: We evaluated 423 consecutive patients screened for CA over 5 years at two referral centres. CA was diagnosed in 261 patients (62%) with either amyloid transthyretin (ATTR; n = 144, 34%) or amyloid light-chain (AL; n = 117, 28%) CA. Strain parameters of all chambers were altered in CA patients, particularly those with ATTR-CA. Nonetheless, only peak left atrial longitudinal strain (LA-PALS) displayed an independent association with the diagnosis of CA or ATTR-CA beyond standard echocardiographic variables and cardiac biomarkers (Model 1), or with the diagnosis of ATTR-CA beyond the validated IWT score in patients with unexplained left ventricular (LV) hypertrophy. Patients with the most severe impairment of LA strain were those most likely to have CA or ATTR-CA. Specifically, LA-PALS and/or LA-peak atrial contraction strain (PACS) in the first quartile (i.e. LA-PALS <6.65% and/or LA-PACS <3.62%) had a 3.60-fold higher risk of CA, and a 3.68-fold higher risk of ATTR-CA beyond Model 1. Among patients with unexplained LV hypertrophy, those with LA-PALS or LA-PACS in the first quartile had an 8.76-fold higher risk for CA beyond Model 1, and a 2.04-fold higher risk of ATTR-CA beyond the IWT score. CONCLUSIONS: Among STE measures of the four chambers, PALS and PACS are the most informative ones to diagnose CA and ATTR-CA. Patients screened for CA and having LA-PALS and/or LA-PACS in the first quartile have a high likelihood of CA and ATTR-CA.","Aimo A, Fabiani I, Giannoni A, Mandoli GE, Pastore MC, Vergaro G, Spini V, Chubuchny V, Pasanisi EM, Petersen C, Poggianti E, Taddei C, Castiglione V, Latrofa S, Panichella G, Sciaccaluga C, Georgiopoulos G, Passino C, Cameli M, Emdin M",Eur Heart J Cardiovasc Imaging. 2022 Dec 19;24(1):130-141. doi: 10.1093/ehjci/jeac057.,6549203 [pii]
Pilot study for left ventricular imaging phenotype of patients over 65 years old with heart failure and preserved ejection fraction: the high prevalence of amyloid cardiomyopathy.,"This study sought to phenotype patients over 65 years old with heart failure and preserved ejection fraction (HFpEF) using clinical available comprehensive cardiovascular imaging modalities. Forty-nine patients with HFpEF and without coronary artery disease underwent clinical evaluation, electrocardiography, echocardiography, cardiac magnetic resonance (CMR) and (99m)Tc-3,3-diphosphono-1,2-propanodicarboxylic acid scintigraphy ((99m)Tc-DPD). The mean population age was 76 ± 8 years. Most of the patients (53 %) were NYHA class II. Mean NT-Pro-NBNP level was 1961 ± 2372 pg/ml. CMR exhibited a hypertrophic cardiomyopathy or infiltrative pattern in 3 (6 %) and 15 (31 %) patients, respectively. In the latter subgroup, (99m)Tc-DPD was suggestive of transthyretin-related cardiac amyloidosis for nine (18 %) patients, while AL amyloidosis was proven in five patients (10 %) by extracardiac (n = 3, 6 %) or endomyocardial (n = 2, 4 %) biopsies-one patient declined tissue biopsy. Compared to patients with unspecified cardiomyopathy (n = 31), patients with amyloid cardiomyopathy (n = 15 or n = 14/proven) had less hypertension, lower systolic blood pressure and higher NT-pro BNP level. Their electrocardiogram showed lowest QRS voltage and longer QRS duration. Left ventricular (LV) pattern was characterized by a more pronounced LV hypertrophy, a smaller ejection fraction and a decrease of global longitudinal strain associated with an increase of longitudinal strain apical-to-basal ratio. In patients over 65 years, HFpEF is a heterogeneous syndrome with at least a 29 % prevalence of amyloid cardiomyopathy. Combined CMR and (99m)Tc-DPD are helpful imaging tools for accurate phenotyping of patients amenable to histopathological diagnosis or genetic testing, and should be considered for proper management of this population. Further longitudinal investigations are needed to better clarify these preliminary results.","Bennani Smires Y, Victor G, Ribes D, Berry M, Cognet T, Méjean S, Huart A, Roussel M, Petermann A, Roncalli J, Carrié D, Rousseau H, Berry I, Chauveau D, Galinier M, Lairez O",Int J Cardiovasc Imaging. 2016 Sep;32(9):1403-1413. doi: 10.1007/s10554-016-0915-z. Epub 2016 May 30.,10.1007/s10554-016-0915-z [pii]
Recognizing Pinch Purpura as the First Manifestation of Light-chain Amyloidosis.,No abstract available,"Öztürk E, Akay MO, Ferhanoğlu B",Turk J Haematol. 2018 Aug 3;35(3):208-209. doi: 10.4274/tjh.2018.0016. Epub 2018 Mar 19.,19473 [pii]
Natriuretic Peptides and Cardiac Troponins: Markers of Disease Progression and Risk in Light Chain Cardiac Amyloidosis.,"PURPOSE OF REVIEW: Light chain (AL) amyloidosis can cause an infiltrative cardiomyopathy that can result in symptomatic heart failure. The vague, nonspecific onset of signs and symptoms may lead to a delay in diagnosis and treatment leading to poor outcomes. Cardiac biomarkers, such as troponins and natriuretic peptides, play a pivotal role in diagnosis, determining prognosis, and assessing treatment response in patients with AL amyloidosis. Because of the evolving landscape for both diagnosis and treatment of AL cardiac amyloidosis, we review the critical role these and other biomarkers play in the clinical management of this disease. RECENT FINDINGS: A number of conventional cardiac and noncardiac serum biomarkers are commonly used in AL cardiac amyloidosis and may be surrogates for cardiac involvement and inform prognosis. These include typical heart failure biomarkers such as levels of circulating natriuretic peptides as well as cardiac troponins. Other noncardiac biomarkers frequently measured in AL cardiac amyloidosis included difference between the involved and uninvolved free light chains (dFLC) and markers of endothelial cell activation and damage such as von Willebrand factor antigen and matrix metalloproteinases. AL amyloidosis can lead to cardiac involvement which has been associated with poor outcomes, especially if not identified and treated early. Natriuretic peptides and cardiac troponins are cornerstones for the diagnosis and management of AL cardiac amyloidosis. Their levels may represent cardiac stress, injury, and possibly degree of cardiac involvement, and they play a key role in AL amyloidosis disease staging.","Wees I, Hendren NS, Kaur G, Roth LR, Grodin JL",Curr Heart Fail Rep. 2023 Oct;20(5):350-357. doi: 10.1007/s11897-023-00616-y. Epub 2023 Jul 10.,10.1007/s11897-023-00616-y [pii]
"Unusual high 99mTc-3,3-diphosphono-1,2-propanodicarboxylic acid (99mTc-DPD) tracer deposition on a heart scintigraphy in a patient with AL amyloidosis: A case report.","We present a case of a 40-year-old Spanish man with cardiac amyloidosis in which a Tc-99m-3,3-diphosphono-1,2-propanodicarboxylic acid (Tc-99m-DPD) scintigraphy was strongly suggestive of cardiac amyloidosis by transthyretin (ATTR) but endomyocardial biopsy (EB) analyzed by immunohistochemistry demonstrated a light chain amyloidosis (AL). Even though the Tc-99m-DPD has proven in different published papers that has high sensibility and specificity for differentiating AL and ATTR cardiac amyloidosis, we present an unusual case of an AL cardiac amyloidosis with a Perugini grade 3 on the scintigraphy. Diagnostic approach of cardiac amyloidosis following consensus documents is discussed to avoid diagnostic mistakes based on imaging techniques.","Persia-Paulino YR, Cuevas-Perez J, Fernandez-Asensio R, Junco-Vicente A, Rozado-Castano J, Colunga S, Cigarran H, Calvo J, Laverde A, Persia O, Capin-Sampedro E",J Nucl Cardiol. 2021 Jun;28(3):1117-1125. doi: 10.1007/s12350-020-02107-2. Epub 2020 Apr 24.,S1071-3581(23)00896-6 [pii]
Clinical characteristics and prognosis of cardiac amyloidosis defined by mass spectrometry-based proteomics in an Australian cohort.,"BACKGROUND: Cardiac amyloidosis has a very poor prognosis, but it is the nature of the involved precursor protein that ultimately dictates treatment and survival. AIM: Definitively characterise the amyloid subtype by mass spectrometry (MS) in an Australian cohort of patients with cardiac amyloidosis. METHODS: We report the clinical characteristics and survival of 47 cardiac amyloid patients across two Australian centres including 39 patients evaluated for definitive amyloid subtype utilising laser microdissection and tandem mass spectrometry. RESULTS: A quarter (n = 12) of patients were classified as wild-type transthyretin amyloidosis (ATTRwt), 33 patients as light or heavy chain amyloidosis (AL or AH) and two as hereditary mutant transthyretin amyloidosis. Greater left ventricular hypertrophy (interventricular septum 22 vs 15 mm; P = 0.005) and history of cardiac arrhythmia (75% vs 31%; P = 0.016) were significantly associated with ATTRwt patients compared with AL/AH patients. AL patients demonstrated significantly shorter median survival compared with ATTRwt patients (3.5 vs 37 months; P = 0.007). New York Heart Association class III-IV symptoms or plasma cells ≥10% at diagnosis, were the only independent predictors of worse survival in AL patients on multivariate analysis. CONCLUSIONS: AL amyloidosis accounted for 68% of our cohort of patients with cardiac amyloidosis while ATTR accounted for 26%. In the era of novel therapies for both AL amyloid and ATTR, identification of the correct amyloid subtype is essential in making therapeutic decisions and providing accurate prognostic information to patients. Laser microdissection and tandem mass spectrometry plays an important role in identifying amyloid subtype, particularly in complex cases.","Withers B, McCaughan G, Hayward C, Kotlyar E, Jabbour A, Rainer S, De Angelis E, Horvath N, Milliken S, Dogan A, MacDonald P, Moore J",Intern Med J. 2022 Jan;52(1):69-78. doi: 10.1111/imj.15072.,10.1111/imj.15072 [doi]
Abnormal Coronary Flow Velocity Reserve and Decreased Myocardial Contractile Reserve Are Main Factors in Relation to Physical Exercise Capacity in Cardiac Amyloidosis.,"BACKGROUND: The aim of the present study was to evaluate the clinical importance of echocardiographic coronary flow velocity reserve (CFVR), resting and exercise left ventricular global longitudinal strain (LVGLS), and myocardial work efficiency (MWE) in patients with cardiac amyloidosis (CA). METHODS: The study population comprised 69 subjects: group A, 27 patients with CA confirmed by endomyocardial biopsy (CA positive); group B, 42 healthy control subjects. The amyloid phenotype in group A was as follows: patients with wild-type transthyretin-related amyloidosis (n = 10), carriers of the Danish familial transthyretin amyloidosis mutation with cardiac involvement (n = 5), and patients with amyloid light chain amyloidosis with cardiac involvement (n = 12). All subjects underwent comprehensive echocardiographic evaluation during rest and during symptom-limited, semisupine exercise testing. Furthermore, CFVR was assessed using Doppler echocardiography. RESULTS: Patients with CA had significantly lower CFVR (1.7 ± 0.6 vs 3.9 ± 0.8, P < .0001), MWE (1.9 ± 1.0 vs 3.0 ± 0.7, P < .0001), and LVGLS magnitude (11% [10%-14%] vs 20% [18%-21%], P < .0001) than control subjects. Patients with CA showed severely reduced deformation and efficiency reserve compared with control subjects (ΔLVGLS 0.9 ± 2.8% vs 5.6 ± 2.3%, P < .0001; ΔMWE 2.5 ± 2.8 vs 8.8 ± 2.6, P < .0001). In patients with CA, a strong relation was seen between physical capacity by the metabolic equivalent of tasks test and CFVR (r = 0.55, P < .01), peak exercise LVGLS (r = 0.64, P < .0001), and peak exercise MWE (r = 0.60, P < .01). CONCLUSIONS: Patients with CA had a profound lack of CFVR and longitudinal myocardial deformation reserve compared with healthy control subjects. Both parameters were significantly associated with exercise capacity and may prove useful for evaluating cardiac performance in patients with CA.","Clemmensen TS, Eiskjær H, Mølgaard H, Larsen AH, Soerensen J, Andersen NF, Tolbod LP, Harms HJ, Poulsen SH",J Am Soc Echocardiogr. 2018 Jan;31(1):71-78. doi: 10.1016/j.echo.2017.09.007. Epub 2017 Oct 27.,S0894-7317(17)30662-4 [pii]
